subject,session,trial,list,id,cue,target,onset
1,1,1,1,52,front,headache,925664.438538472
1,1,2,1,81,claim,puzzle,925669.938338192
1,1,3,1,49,hair,frog,925675.438068485
1,1,4,1,16,writer,breathe,925680.93791137
1,1,5,1,92,novel,sick,925686.437638947
1,1,6,1,34,trailer,dirty,925691.937377391
1,1,7,1,67,warehouse,mirror,925697.437164433
1,1,8,1,17,pump,brush,925702.936940608
1,1,9,1,25,weed,clothes,925708.436732178
1,1,10,1,77,soccer,pool,925713.936482092
1,1,11,1,105,victor,steal,925719.436260682
1,1,12,1,60,goose,laugh,925724.936019048
1,1,13,1,58,audience,jelly,925730.435806996
1,1,14,1,15,wall,bottom,925735.935574719
1,1,15,1,6,alarm,bear,925741.435341839
1,1,16,1,70,union,movie,925746.93511409
1,1,17,1,19,circus,cake,925752.434883625
1,1,18,1,53,branch,high,925757.934654065
1,1,19,1,8,shower,belt,925763.434434768
1,1,20,1,10,soda,blood,925768.934192832
1,1,21,2,116,retreat,tired,925975.525516766
1,1,22,2,80,gang,push,925981.025277547
1,1,23,2,41,impulse,eggs,925986.525053722
1,1,24,2,114,memory,thin,925992.024823559
1,1,25,2,65,tragedy,math,925997.524597018
1,1,26,2,23,sailor,cheap,926003.024360213
1,1,27,2,112,contact,television,926008.524133068
1,1,28,2,54,strawberry,horse,926014.023894754
1,1,29,2,27,department,copy,926019.523677872
1,1,30,2,64,medal,loud,926025.023428994
1,1,31,2,93,state,small,926030.523201245
1,1,32,2,83,post,rabbit,926036.022976213
1,1,33,2,91,fraud,short,926041.522741522
1,1,34,2,63,brand,lose,926047.022507736
1,1,35,2,20,campus,candle,926052.52227727
1,1,36,2,40,policeman,duck,926058.022055559
1,1,37,2,89,revolution,sheriff,926063.521812717
1,1,38,2,11,dream,board,926069.02158195
1,1,39,2,86,comedy,rules,926074.52135239
1,1,40,2,74,armor,pepper,926080.021118
1,1,41,3,111,wreck,teeth,926266.296552134
1,1,42,3,110,clue,tear,926271.796366041
1,1,43,3,59,judgment,land,926277.296131954
1,1,44,3,13,yard,bone,926282.79589847
1,1,45,3,90,trousers,shirt,926288.29566891
1,1,46,3,51,dressing,groom,926293.795427578
1,1,47,3,98,liver,south,926299.29520496
1,1,48,3,33,tree,dirt,926304.794961515
1,1,49,3,120,sofa,window,926310.29472954
1,1,50,3,106,turtle,street,926315.79451296
1,1,51,3,118,picture,uncle,926321.294285513
1,1,52,3,82,action,queen,926326.794043577
1,1,53,3,1,permission,airplane,926332.293796812
1,1,54,3,39,debate,drunk,926337.79357993
1,1,55,3,48,click,forward,926343.293347955
1,1,56,3,109,salesman,tail,926348.793116886
1,1,57,3,94,thief,smell,926354.292882195
1,1,58,3,88,illness,scratch,926359.792650522
1,1,59,3,36,appeal,downstairs,926365.292427904
1,1,60,3,117,document,train,926370.792185667
1,1,61,4,14,vampire,book,926567.967167654
1,1,62,4,42,kindness,elephant,926573.466953488
1,1,63,4,103,mate,star,926578.966705515
1,1,64,4,61,enemy,lawn,926584.466498594
1,1,65,4,4,theft,answer,926589.966240962
1,1,66,4,71,chase,nail,926595.466021062
1,1,67,4,47,neighbor,forever,926600.965777616
1,1,68,4,55,class,hungry,926606.465552584
1,1,69,4,24,print,church,926611.965310045
1,1,70,4,115,massage,thread,926617.465092559
1,1,71,4,69,navy,monkey,926622.964852132
1,1,72,4,29,danger,cracker,926628.464625289
1,1,73,4,57,wealth,jeans,926633.964381844
1,1,74,4,37,shoe,draw,926639.464157717
1,1,75,4,84,burst,rain,926644.963925743
1,1,76,4,87,plate,scare,926650.463702522
1,1,77,4,31,lieutenant,deer,926655.963470849
1,1,78,4,26,leather,cold,926661.463225291
1,1,79,4,76,pirate,plane,926666.962999051
1,1,80,4,9,sweetheart,bird,926672.462761643
1,1,81,5,73,employment,orange,926863.638008658
1,1,82,5,7,denial,beer,926869.137773966
1,1,83,5,28,squad,corn,926874.637547425
1,1,84,5,96,customer,soap,926880.13729583
1,1,85,5,18,curtain,butter,926885.637075024
1,1,86,5,66,cell,minus,926891.136846973
1,1,87,5,79,detail,pudding,926896.636614395
1,1,88,5,35,garbage,disappear,926902.13637759
1,1,89,5,38,buzz,drug,926907.636106073
1,1,90,5,2,driver,angel,926913.135916056
1,1,91,5,62,boom,lightning,926918.635681364
1,1,92,5,50,furniture,ghost,926924.135438523
1,1,93,5,119,cape,west,926929.635219528
1,1,94,5,44,scar,finish,926935.134984836
1,1,95,5,45,chef,flag,926940.634709998
1,1,96,5,22,coast,chair,926946.134511831
1,1,97,5,43,ashes,fall,926951.634279555
1,1,98,5,113,trash,test,926957.134052108
1,1,99,5,95,month,snake,926962.633851828
1,1,100,5,104,junk,steak,926968.133587555
1,1,101,6,102,barrel,stamp,927156.708928023
1,1,102,6,72,substance,nephew,927162.208725328
1,1,103,6,3,territory,animal,927167.708485204
1,1,104,6,5,link,bank,927173.20823059
1,1,105,6,21,type,card,927178.708001936
1,1,106,6,30,center,cute,927184.207770866
1,1,107,6,85,unit,rock,927189.707502065
1,1,108,6,101,hook,square,927195.2073042
1,1,109,6,108,powder,sweat,927200.707069811
1,1,110,6,100,plenty,spider,927206.206835723
1,1,111,6,32,concert,defense,927211.706604654
1,1,112,6,75,gold,pizza,927217.206370566
1,1,113,6,12,interest,boat,927222.706137384
1,1,114,6,97,bluff,soup,927228.205925935
1,1,115,6,46,fountain,flowers,927233.705671623
1,1,116,6,56,instant,husband,927239.205438441
1,1,117,6,99,port,spaghetti,927244.705207372
1,1,118,6,107,pity,student,927250.204972077
1,1,119,6,78,style,poor,927255.704737687
1,1,120,6,68,moonlight,mistake,927261.204513561
2,1,1,1,73,concert,orange,54354.9731999691
2,1,2,1,64,sweetheart,loud,54360.4730007438
2,1,3,1,70,trailer,movie,54365.9727948776
2,1,4,1,58,sofa,jelly,54371.4725844836
2,1,5,1,40,kindness,duck,54376.9723629209
2,1,6,1,94,circus,smell,54382.4721772791
2,1,7,1,66,month,minus,54387.9719662814
2,1,8,1,82,denial,queen,54393.4717498503
2,1,9,1,34,shower,dirty,54398.9715599825
2,1,10,1,26,employment,cold,54404.4713517015
2,1,11,1,36,state,downstairs,54409.9711029717
2,1,12,1,97,barrel,soup,54415.470942384
2,1,13,1,98,comedy,south,54420.970744668
2,1,14,1,3,interest,animal,54426.4705333684
2,1,15,1,56,clue,husband,54431.9703465192
2,1,16,1,54,curtain,horse,54437.4701207305
2,1,17,1,22,union,chair,54442.9698937344
2,1,18,1,13,armor,bone,54448.4697183558
2,1,19,1,81,gang,puzzle,54453.9695082636
2,1,20,1,90,soda,shirt,54459.469259232
2,1,21,2,25,boom,clothes,54715.0098477677
2,1,22,2,107,appeal,student,54720.5096419016
2,1,23,2,74,goose,pepper,54726.0094375447
2,1,24,2,60,junk,laugh,54731.5092398286
2,1,25,2,44,medal,finish,54737.0090448293
2,1,26,2,116,trash,tired,54742.5088670358
2,1,27,2,6,victor,bear,54748.0086207209
2,1,28,2,19,plate,cake,54753.5084383995
2,1,29,2,65,hair,math,54759.0082180443
2,1,30,2,91,brand,short,54764.5080154985
2,1,31,2,17,unit,brush,54770.0078328753
2,1,32,2,80,danger,push,54775.5076393853
2,1,33,2,109,front,tail,54781.0074392544
2,1,34,2,118,powder,uncle,54786.5072324827
2,1,35,2,86,impulse,rules,54792.0070386908
2,1,36,2,110,massage,tear,54797.5068334283
2,1,37,2,101,port,square,54803.0066311844
2,1,38,2,46,dream,flowers,54808.5064283368
2,1,39,2,75,contact,pizza,54814.0062266967
2,1,40,2,12,chase,boat,54819.5060253584
2,1,41,3,96,print,soap,55127.0614211647
2,1,42,3,15,driver,bottom,55132.561197489
2,1,43,3,20,theft,candle,55138.0610049046
2,1,44,3,41,mate,eggs,55143.560797831
2,1,45,3,43,squad,fall,55149.0605886444
2,1,46,3,53,type,high,55154.5604005878
2,1,47,3,84,cape,rain,55160.0602158516
2,1,48,3,23,plenty,cheap,55165.560010891
2,1,49,3,39,chef,drunk,55171.0597971766
2,1,50,3,4,tragedy,answer,55176.5595973475
2,1,51,3,7,gold,beer,55182.0593999334
2,1,52,3,10,action,blood,55187.5592040285
2,1,53,3,45,enemy,flag,55193.0589963512
2,1,54,3,21,class,card,55198.5588152372
2,1,55,3,38,novel,drug,55204.0586042395
2,1,56,3,27,illness,copy,55209.5584068253
2,1,57,3,62,buzz,lightning,55215.0581885831
2,1,58,3,71,memory,nail,55220.55799298
2,1,59,3,68,style,mistake,55226.0578088475
2,1,60,3,93,shoe,small,55231.5575836626
2,1,61,4,49,department,frog,55505.014288983
2,1,62,4,61,thief,lawn,55510.5140577609
2,1,63,4,106,neighbor,street,55516.0138691005
2,1,64,4,50,campus,ghost,55521.5136683659
2,1,65,4,63,permission,lose,55527.0134573682
2,1,66,4,119,moonlight,west,55532.5132521058
2,1,67,4,89,claim,sheriff,55538.013043221
2,1,68,4,14,fraud,book,55543.5128572774
2,1,69,4,18,alarm,butter,55549.0126595614
2,1,70,4,77,revolution,pool,55554.5124449414
2,1,71,4,115,audience,thread,55560.0123245006
2,1,72,4,87,document,scare,55565.5120392462
2,1,73,4,24,cell,church,55571.0118536044
2,1,74,4,59,debate,land,55576.5116531717
2,1,75,4,28,lieutenant,corn,55582.0114536445
2,1,76,4,55,garbage,hungry,55587.5112520043
2,1,77,4,117,branch,train,55593.0110829647
2,1,78,4,111,trousers,teeth,55598.5108306126
2,1,79,4,29,tree,cracker,55604.0106485931
2,1,80,4,52,judgment,headache,55609.5104680829
2,1,81,5,113,hook,test,55846.4351177482
2,1,82,5,5,dressing,bank,55851.9349360306
2,1,83,5,32,wealth,defense,55857.4347026955
2,1,84,5,99,center,spaghetti,55862.9345454282
2,1,85,5,1,soccer,airplane,55868.4343142061
2,1,86,5,102,territory,stamp,55873.9341309792
2,1,87,5,31,yard,deer,55879.4339181703
2,1,88,5,51,liver,groom,55884.9337234728
2,1,89,5,83,post,rabbit,55890.4335160974
2,1,90,5,95,wreck,snake,55895.9333364928
2,1,91,5,37,leather,draw,55901.4331239858
2,1,92,5,47,warehouse,forever,55906.9329199307
2,1,93,5,35,strawberry,disappear,55912.4327092349
2,1,94,5,92,pump,sick,55917.9325190653
2,1,95,5,8,coast,belt,55923.4323192362
2,1,96,5,104,vampire,steak,55928.9321191053
2,1,97,5,48,wall,forward,55934.4319029761
2,1,98,5,72,salesman,nephew,55939.9317004303
2,1,99,5,105,retreat,steal,55945.431528674
2,1,100,5,69,sailor,monkey,55950.9313252226
2,1,101,6,33,weed,dirt,56202.1054233961
2,1,102,6,88,burst,scratch,56207.6052706566
2,1,103,6,16,turtle,breathe,56213.1050678091
2,1,104,6,67,pirate,mirror,56218.6048673763
2,1,105,6,2,customer,angel,56224.104659699
2,1,106,6,100,click,spider,56229.6044643978
2,1,107,6,11,detail,board,56235.1042675874
2,1,108,6,79,policeman,pudding,56240.6040632305
2,1,109,6,9,scar,bird,56246.1038624959
2,1,110,6,57,navy,jeans,56251.603666591
2,1,111,6,30,furniture,cute,56257.1034546877
2,1,112,6,114,link,thin,56262.6032587828
2,1,113,6,112,ashes,television,56268.1030610668
2,1,114,6,42,fountain,elephant,56273.6028633508
2,1,115,6,103,bluff,star,56279.1026589939
2,1,116,6,78,pity,poor,56284.6024585611
2,1,117,6,120,substance,window,56290.1022593358
2,1,118,6,76,writer,plane,56295.6020504511
2,1,119,6,85,picture,rock,56301.1018563573
2,1,120,6,108,instant,sweat,56306.6016568302
3,1,1,1,109,massage,tail,928553.116195337
3,1,2,1,79,action,pudding,928558.615975738
3,1,3,1,80,ashes,push,928564.115740141
3,1,4,1,28,post,corn,928569.615477981
3,1,5,1,32,victor,defense,928575.115237856
3,1,6,1,25,writer,clothes,928580.615048443
3,1,7,1,36,burst,downstairs,928586.114815865
3,1,8,1,29,port,cracker,928591.614589927
3,1,9,1,38,audience,drug,928597.11435433
3,1,10,1,19,style,cake,928602.614121752
3,1,11,1,84,medal,rain,928608.113914529
3,1,12,1,49,denial,frog,928613.613661424
3,1,13,1,83,trash,rabbit,928619.113423714
3,1,14,1,102,hair,stamp,928624.613167591
3,1,15,1,91,lieutenant,short,928630.112952219
3,1,16,1,76,barrel,plane,928635.612723564
3,1,17,1,87,wall,scare,928641.11250638
3,1,18,1,96,neighbor,soap,928646.612250861
3,1,19,1,53,link,high,928652.112040016
3,1,20,1,13,campus,bone,928657.611809853
3,1,21,2,42,warehouse,elephant,928916.850883572
3,1,22,2,105,instant,steal,928922.35065371
3,1,23,2,118,document,uncle,928927.850420226
3,1,24,2,73,click,orange,928933.350180705
3,1,25,2,61,comedy,lawn,928938.849959295
3,1,26,2,57,shoe,jeans,928944.349722491
3,1,27,2,56,judgment,husband,928949.849478442
3,1,28,2,21,scar,card,928955.349244354
3,1,29,2,70,clue,movie,928960.849029585
3,1,30,2,78,pump,poor,928966.348793686
3,1,31,2,27,appeal,copy,928971.848552958
3,1,32,2,94,goose,smell,928977.3483074
3,1,33,2,117,turtle,train,928982.848085084
3,1,34,2,22,cell,chair,928988.347858241
3,1,35,2,35,sailor,disappear,928993.847634718
3,1,36,2,82,novel,queen,928999.34740214
3,1,37,2,74,hook,pepper,929004.847170165
3,1,38,2,72,salesman,nephew,929010.346932757
3,1,39,2,86,trousers,rules,929015.846704103
3,1,40,2,68,tree,mistake,929021.346473335
3,1,41,3,17,chase,brush,929265.986124078
3,1,42,3,16,buzz,breathe,929271.485896028
3,1,43,3,110,dream,tear,929276.985660431
3,1,44,3,10,interest,blood,929282.485440228
3,1,45,3,108,unit,sweat,929287.985195877
3,1,46,3,97,branch,soup,929293.484958168
3,1,47,3,23,sofa,cheap,929298.984690272
3,1,48,3,98,pity,south,929304.484482144
3,1,49,3,6,wreck,bear,929309.984254697
3,1,50,3,4,mate,answer,929315.484020006
3,1,51,3,33,pirate,dirt,929320.983784107
3,1,52,3,34,danger,dirty,929326.483556962
3,1,53,3,20,wealth,candle,929331.98326522
3,1,54,3,12,department,boat,929337.483090899
3,1,55,3,8,liver,belt,929342.982868886
3,1,56,3,77,fraud,pool,929348.482620611
3,1,57,3,7,trailer,beer,929353.982404333
3,1,58,3,107,gold,student,929359.482159378
3,1,59,3,106,illness,street,929364.981937365
