subject,session,trial,list,id,cue,target,onset
1,1,9,1,19,icing,cake,925818.382116847
1,1,10,1,15,wall,bottom,925823.881899965
1,1,11,1,60,giggle,laugh,925829.381659237
1,1,12,1,17,comb,brush,925834.881432091
1,1,13,1,67,reflection,mirror,925840.381195287
1,1,14,1,25,weed,clothes,925845.880958181
1,1,15,1,58,audience,jelly,925851.380734054
1,1,16,1,52,front,headache,925856.880506909
1,1,25,2,114,memory,thin,926120.202713002
1,1,26,2,20,wick,candle,926125.702526608
1,1,27,2,64,noisy,loud,926131.202294633
1,1,28,2,74,salt,pepper,926136.702064469
1,1,29,2,11,chalk,board,926142.201830382
1,1,30,2,86,comedy,rules,926147.701599312
1,1,31,2,23,sailor,cheap,926153.201352547
1,1,32,2,89,revolution,sheriff,926158.701135363
1,1,41,3,82,king,queen,926410.990483754
1,1,42,3,36,appeal,downstairs,926416.490255402
1,1,43,3,51,dressing,groom,926421.990022521
1,1,44,3,109,salesman,tail,926427.489789641
1,1,45,3,118,aunt,uncle,926432.989556761
1,1,46,3,94,odor,smell,926438.489332936
1,1,47,3,33,soil,dirt,926443.989039081
1,1,48,3,98,liver,south,926449.488857516
1,1,57,4,14,vampire,book,926716.46090162
1,1,58,4,76,airport,plane,926721.960666324
1,1,59,4,26,chill,cold,926727.460440689
1,1,60,4,57,wealth,jeans,926732.960206903
1,1,61,4,37,shoe,draw,926738.459969193
1,1,62,4,24,cathedral,church,926743.959734803
1,1,63,4,103,mate,star,926749.459508564
1,1,64,4,42,tusk,elephant,926754.959272967
1,1,73,5,104,junk,steak,927003.765380437
1,1,74,5,38,buzz,drug,927009.265177138
1,1,75,5,45,banner,flag,927014.764945164
1,1,76,5,44,scar,finish,927020.264732206
1,1,77,5,28,cob,corn,927025.764489666
1,1,78,5,79,detail,pudding,927031.264247428
1,1,79,5,35,vanish,disappear,927036.764012435
1,1,80,5,73,tangerine,orange,927042.263779555
1,1,89,6,56,wife,husband,927302.102773705
1,1,90,6,85,unit,rock,927307.602545655
1,1,91,6,97,bluff,soup,927313.102309756
1,1,92,6,12,interest,boat,927318.602105552
1,1,93,6,68,error,mistake,927324.101831619
1,1,94,6,21,credit,card,927329.601597833
1,1,95,6,101,hook,square,927335.101376424
1,1,96,6,30,adorable,cute,927340.601142336
2,1,1,1,73,tangerine,orange,54468.0023267102
2,1,2,1,54,curtain,horse,54473.5021132976
2,1,3,1,58,sofa,jelly,54479.001921015
2,1,4,1,90,blouse,shirt,54484.5017082062
2,1,5,1,82,denial,queen,54490.0015126031
2,1,6,1,56,clue,husband,54495.5012738346
2,1,7,1,22,table,chair,54501.0011002671
2,1,8,1,34,filthy,dirty,54506.5008817229
2,1,17,2,107,pupil,student,54828.0390430303
2,1,18,2,109,wag,tail,54833.5388419938
2,1,19,2,101,port,square,54839.0386385425
2,1,20,2,110,massage,tear,54844.53843328
2,1,21,2,6,grizzly,bear,54850.0382349603
2,1,22,2,116,trash,tired,54855.5380266793
2,1,23,2,25,wardrobe,clothes,54861.0378138704
2,1,24,2,65,hair,math,54866.5376019671
2,1,33,3,71,hammer,nail,55240.0906387647
2,1,34,3,53,low,high,55245.5904247484
2,1,35,3,27,illness,copy,55251.0902212971
2,1,36,3,68,error,mistake,55256.5900118086
2,1,37,3,7,gold,beer,55262.0898228464
2,1,38,3,39,chef,drunk,55267.5896097357
2,1,39,3,23,plenty,cheap,55273.0894174531
2,1,40,3,93,tiny,small,55278.589205248
2,1,49,4,14,text,book,55618.0434751898
