"Occurences","Word","Length","SUBTLWF","POS"
"1","acre","4","1.82","NN"
"1","action","6","61.08","NN"
"1","addiction","9","3.90","NN"
"1","adorable","8","10.53","JJ"
"1","airplane","8","10.92","NN"
"1","airport","7","38.04","NN"
"1","alarm","5","29.84","NN|VB"
"1","angel","5","78.27","NN"
"1","animal","6","45.49","NN"
"1","answer","6","176.20","NN|VB"
"1","appeal","6","13.00","NN|VB"
"1","arithmetic","10","1.53","NN"
"1","armor","5","7.29","NN"
"1","ashes","5","9.86","NN"
"1","astronomy","9","1.31","NN"
"1","audience","8","25.37","NN"
"1","aunt","4","55.20","NN"
"1","avenue","6","16.88","NN"
"1","backward","8","3.12","RB|JJ|NN"
"1","bank","4","84.98","NN|VB"
"1","banner","6","5.92","NN"
"1","barrel","6","10.63","NN|VB"
"1","bear","4","57.41","VB|NN"
"1","beer","4","75.49","NN"
"1","belt","4","24.35","NN"
"1","bird","4","45.45","NN"
"1","blood","5","186.12","NN"
"1","blouse","6","5.33","NN"
"1","bluff","5","6.22","NN|VB"
"1","board","5","64.16","NN|VB"
"1","boat","4","95.78","NN"
"1","bone","4","26.06","NN|VB"
"1","book","4","176.98","NN|VB"
"1","boom","4","21.80","NN|VB"
"1","bottom","6","49.92","NN|VB|JJ"
"1","boulder","7","2.08","NN"
"1","bouquet","7","3.22","NN"
"1","branch","6","10.08","NN|VB"
"1","brand","5","13.96","NN|VB"
"1","breathe","7","48.51","VB"
"1","bride","5","24.22","NN"
"1","broth","5","0.88","NN"
"1","brush","5","14.16","NN|VB"
"1","buckle","6","5.04","VB|NN"
"1","bunny","5","18.55","NN"
"1","burst","5","8.53","NN|VB"
"1","butter","6","20.43","NN|VB"
"1","buzz","4","15.96","NN|VB"
"1","caboose","7","0.59","NN"
"1","cake","4","45.06","NN|VB"
"1","campus","6","10.71","NN"
"1","candle","6","8.02","NN"
"1","cape","4","8.24","NN"
"1","card","4","85.43","NN"
"1","cathedral","9","3.73","NN"
"1","cell","4","54.35","NN"
"1","center","6","45.78","NN|VB"
"1","chair","5","49.24","NN|VB"
"1","chalk","5","3.59","NN|VB"
"1","chase","5","32.80","NN|VB"
"1","cheap","5","36.24","JJ|RB|NN"
"1","chef","4","11.88","NN"
"1","chill","5","16.24","NN|VB"
"1","chimpanzee","10","1.22","NN"
"1","chirp","5","0.59","NN|VB"
"1","chlorine","8","0.75","NN|JJ"
"1","choice","6","97.55","NN"
"1","church","6","69.67","NN"
"1","cinema","6","3.88","NN"
"1","circus","6","17.06","NN"
"1","claim","5","25.39","NN|VB"
"1","class","5","117.35","NN|VB"
"1","click","5","6.41","NN|VB"
"1","clothes","7","101.14","NN"
"1","clue","4","17.61","NN|VB"
"1","coast","5","26.69","NN|VB"
"1","cob","3","0.69","NN"
"1","cobra","5","3.33","NN"
"1","cobweb","6","0.20","NN"
"1","cold","4","130.16","JJ|NN"
"1","comb","4","6.06","NN|VB"
"1","comedy","6","11.80","NN"
"1","concert","7","17.55","NN"
"1","contact","7","64.80","NN|VB"
"1","copy","4","52.27","NN|VB"
"1","corn","4","14.22","NN"
"1","cracker","7","5.76","NN"
"1","credit","6","45.82","NN|VB"
"1","curtain","7","10.29","NN|VB"
"1","customer","8","15.20","NN"
"1","cute","4","87.75","JJ|NN"
"1","danger","6","43.67","NN"
"1","debate","6","9.29","NN|VB"
"1","deer","4","8.71","NN"
"1","defense","7","32.65","NN"
"1","denial","6","5.25","NN"
"1","denim","5","0.65","NN"
"1","department","10","63.84","NN"
"1","deputy","6","15.65","NN"
"1","detail","6","19.39","NN|VB"
"1","dirt","4","25.69","NN"
"1","disappear","9","20.96","VB"
"1","document","8","10.10","NN"
"1","doe","3","4.33","NN"
"1","done","4","485.04","VB|NN"
"1","downstairs","10","38.92","NN|RB|JJ"
"1","draw","4","40.41","VB|NN"
"1","dream","5","133.29","NN|VB"
"1","dressing","8","15.76","NN|VB"
"1","driver","6","47.37","NN"
"1","drug","4","45.22","NN|VB"
"1","drunk","5","76.55","JJ"
"1","duck","4","24.76","NN|VB"
"1","east","4","49.55","NN|JJ|RB"
"1","eggs","4","38.65","NN|VB"
"1","elephant","8","11.37","NN"
"1","employment","10","5.33","NN"
"1","enemy","5","48.51","NN"
"1","error","5","9.27","NN|JJ"
"1","eternity","8","7.98","NN"
"1","exhausted","9","12.84","VB|JJ"
"1","fall","4","118.51","NN|VB"
"1","finish","6","98.92","VB|NN"
"1","flag","4","17.49","NN|VB"
"1","flight","6","59.69","NN"
"1","flowers","7","47.59","NN|VB"
"1","forever","7","88.80","RB|NN"
"1","forward","7","72.33","RB|JJ|VB|NN"
"1","fountain","8","6.90","NN"
"1","fraud","5","10.04","NN"
"1","fright","6","2.76","NN"
"1","frog","4","11.82","NN"
"1","front","5","181.55","NN|JJ|VB"
"1","furniture","9","15.08","NN"
"1","gang","4","30.14","NN|VB"
"1","garbage","7","26.10","NN"
"1","ghost","5","36.59","NN"
"1","ghoul","5","1.02","NN"
"1","giggle","6","1.71","NN"
"1","gold","4","78.94","NN|JJ"
"1","goose","5","13.04","NN"
"1","grizzly","7","1.86","NN|JJ"
"1","groom","5","7.82","NN|VB"
"1","gums","4","1.88","NN"
"1","hair","4","153.55","NN"
"1","halo","4","1.61","NN"
"1","hammer","6","12.47","NN|VB"
"1","headache","8","14.10","NN"
"1","high","4","195.00","JJ|RB|NN"
"1","hook","4","38.00","NN|VB"
"1","horse","5","92.88","NN|VB"
"1","hungry","6","77.08","JJ"
"1","husband","7","194.80","NN|VB"
"1","icing","5","1.39","VB|NN"
"1","ill","3","21.27","JJ|RB|NN"
"1","illness","7","7.27","NN"
"1","impulse","7","5.27","NN"
"1","inexpensive","11","0.73","JJ"
"1","instant","7","10.78","NN|JJ"
"1","interest","8","50.94","NN|VB"
"1","intoxicated","11","1.02","JJ"
"1","itch","4","4.18","VB|NN"
"1","jeans","5","6.61","NN"
"1","jelly","5","7.12","NN"
"1","jigsaw","6","1.86","NN"
"1","judgment","8","16.45","NN"
"1","junk","4","15.37","NN|VB"
"1","keg","3","3.43","NN"
"1","kindness","8","9.02","NN"
"1","king","4","129.25","NN"
"1","land","4","88.12","NN|VB"
"1","lather","6","0.55","NN|VB"
"1","laugh","5","62.86","NN|VB"
"1","lawn","4","12.35","NN"
"1","leather","7","13.59","NN"
"1","lieutenant","10","104.04","NN"
